denomination_id,name
'irn_dinar','dinar'
'irn_dinar','dinars'
'irn_pahlavi','pahlavi'
'irn_pahlavi','pahlavis'
'irn_qiran','qiran'
'irn_qiran','qirans'
'irn_rial','rial'
'irn_rial','rials'
'irn_shahi','shahi'
'irn_shahi','shahis'
'irn_toman','toman'
'irn_toman','tomans'
'irq_fils','fils'
'irq_riyal','riyal'
'irq_riyal','riyals'
'isl_krona','krona'
'isl_krona','kronur'
'isr_pound','pound'
'isr_pound','pounds'
'isr_pruta','pruta'
'isr_pruta','prutas'
'ita_centesimo','centesimo'
'ita_centesimo','centesimi'
'ita_centesimo','centesimis'
'ita_lira','lira'
'ita_lira','lire'
'ita_lira','liras'
'jam_penny','penny'
'jam_penny','pence'
'jpn_dollar','trade dollar'
'jpn_dollar','dollar'
'jpn_dollar','dollars'
'jpn_dollar','trade dollars'
'jpn_sen','sen'
'jpn_yen','yen'
'khm_centime','centime'
'khm_centime','centimes'
'khm_franc','franc'
'khm_franc','francs'
'khm_piastre','piastre'
'khm_piastre','piastres'
'kor_chon','chon'
'kor_whan','whan'
'kor_won','won'
'kor_yang','yang'
'kwt_dinar','dinar'
'kwt_dinar','dinars'
'lbn_piastre','piastre'
'lbn_piastre','piastres'
'lbr_cent','cent'
'lbr_cent','cents'
'lbr_dollar','dollar'
'lbr_dollar','dollars'
'lie_frank','frank'
'lie_frank','franken'
'lie_krone','krone'
'lie_krone','kronen'
'lie_thaler','thaler'
'lie_thaler','thalers'
'ltu_litas','litas'
'ltu_litas','litu'
'ltu_litas','litai'
'lux_franc','franc'
'lux_franc','francs'
'lux_franc','frang'
'lux_franc','frangs'
'lva_lats','lats'
'lva_lats','lati'
'mac_pataca','pataca'
'mac_pataca','patacas'
'mar_dirham','dirham'
'mar_franc','franc'
'mar_franc','francs'
'mar_rial','rial'
'mar_rial','rials'
'mex_centavo','centavo'
'mex_centavo','centavos'
'mex_escudo','escudo'
'mex_escudo','escudos'
'mex_peso','peso'
'mex_peso','pesos'
'mex_real','real'
'mex_real','reales'
'mmr_anna','anna'
'mmr_anna','annas'
'mmr_kyat','kyat'
'mmr_rupee','rupee'
'mmr_rupee','rupees'
'mng_mongo','mongo'
'mng_tukhrik','tukhrik'
'nfl_cent','cent'
'nfl_cent','cents'
'nfl_dollar','dollar'
'nfl_dollar','dollars'
'nld_cents','cent'
'nld_cents','cents'
'nld_dukaat','dukaat'
'nld_gulden','gulden'
'nld_gulden','guldens'
'nor_krone','krone'
'nor_krone','kroner'
'nor_ore','ore'
'nor_skilling','skilling'
'nor_speciedaler','speciedaler'
'nor_speciedaler','speciedalers'
'npl_paisa','paisa'
'npl_rupee','rupee'
'npl_rupee','rupees'
'nzl_crown','crown'
'nzl_crown','crowns'
'nzl_florin','florin'
'nzl_florin','florins'
'nzl_penny','penny'
'nzl_penny','pence'
'nzl_shilling','shilling'
'nzl_shilling','shillings'
'pan_balboa','balboa'
'pan_balboa','balboas'
'pan_centesimo','centesimo'
'pan_centesimo','centesimos'
'per_dinero','dinero'
'per_dinero','dineros'
'per_escudo','escudo'
'per_escudo','escudos'
'per_libra','libra'
'per_libra','libras'
'per_peseta','peseta'
'per_peseta','pesetas'
'per_real','real'
'per_real','reales'
'per_sol','sol'
'per_sol','soles'
'phl_centavo','centavo'
'phl_centavo','centavos'
'phl_centimo','centimo'
'phl_centimo','centimos'
'phl_peso','peso'
'phl_peso','pesos'
'pol_zloty','zloty'
'pol_zloty','zlote'
'pol_zloty','zlotych'
'pol_zloty','zlotego'
'prt_centavo','centavo'
'prt_centavo','centavos'
'prt_escudo','escudo'
'prt_escudo','escudos'
'prt_real','real'
'prt_real','reis'
'pry_peso','peso'
'pry_peso','pesos'
'rou_banu','banu'
'rou_banu','bani'
'rou_leu','leu'
'rou_leu','lei'
'rus_kopek','kopek'
'rus_kopek','kopeks'
'rus_kopek','kopeck'
'rus_kopek','kopecks'
'rus_ruble','ruble'
'rus_ruble','rubles'
'sau_guinea','guinea'
'sau_guinea','guineas'
'sau_riyal','riyal'
'sau_riyal','riyals'
'sau_sovereign','sovereign'
'sau_sovereign','sovereigns'
'slv_centavo','centavo'
'slv_centavo','centavos'
'slv_colon','colon'
'slv_colon','colones'
'slv_peso','peso'
'slv_peso','pesos'
'srb_dinar','dinar'
'srb_dinar','dinara'
'srb_para','para'
'srb_para','pare'
'sur_gulden','gulden'
'sur_gulden','guldens'
'swe_carolin','carolin'
'swe_carolin','carolins'
'swe_dukat','dukat'
'swe_krona','krona'
'swe_krona','kronor'
'swe_ore','ore'
'swe_ore','oren'
'swe_riksdaler riksmynt','riksdaler riksmynt'
'syr_lira','lira'
'syr_lira','lire'
'syr_piastre','piastre'
'syr_piastre','piastres'
'syr_pound','pound'
'syr_pound','pounds'
'tha_baht','baht'
'tha_salung','salung'
'tha_satang','satang'
'tur_kurus','kurus'
'tur_kurus','kurush'
'tur_kurusmdl','kurus (monnaies de luxe)'
'tur_kurusmdl','kurus'
'tur_kurusmdl','kurush'
'tur_lira','lira'
'tur_lira','liras'
'tur_para','para'
'tur_para','paras'
'uar_ghirsh','ghirsh'
'uar_pound','pound'
'uar_pound','pounds'
'ury_centesimo','centesimo'
'ury_centesimo','centesimos'
'ury_peso','peso'
'ury_peso','pesos'
'usa_cent','cent'
'usa_cent','cents'
'usa_dollar','dollar'
'usa_dollar','dollars'
'ven_bolivar','bolivar'
'ven_bolivar','bolivares'
'ven_centavo','centavo'
'ven_centavo','centavos'
'ven_centimo','centimo'
'ven_centimo','centimos'
'ven_real','real'
'ven_real','reales'
'ven_venezolano','venezolano'
'ven_venezolano','venezolanos'
'zaf_cent','cent'
'zaf_cent','cents'
'zaf_florin','florin'
'zaf_florin','florins'
'zaf_penny','penny'
'zaf_penny','pence'
'zaf_pond','pond'
'zaf_pond','ponds'
'zaf_pound','pound'
'zaf_pound','pounds'
'zaf_rand','rand'
'zaf_shilling','shilling'
'zaf_shilling','shillings'
'zaf_sovereign','sovereign'
'zaf_sovereign','sovereigns'
