value_id,name
'rus_ruble_fractional_37_1_2','37 1/2'
'rus_ruble_fractional_37_1_2','75/2'
'rus_ruble_fractional_7_1_2','7-1/2'
'rus_ruble_fractional_7_1_2','7 1/2'
'rus_ruble_fractional_7_1_2','15/2'
'sau_riyal_fractional_1_2','1/2'
'sau_riyal_fractional_1_4','1/4'
'slv_peso_fractional_2_1_2','2-1/2'
'slv_peso_fractional_2_1_2','2 1/2'
'slv_peso_fractional_2_1_2','5/2'
'syr_pound_fractional_1_2','1/2'
'tur_kurusmdl_fractional_12_1_2','12-1/2'
'tur_kurusmdl_fractional_12_1_2','12 1/2'
'tur_kurusmdl_fractional_12_1_2','25/2'
'uar_pound_fractional_1_2','1/2'
'usa_cent_10','dime'
'usa_cent_10','dimes'
'usa_cent_25','quarter'
'usa_cent_25','quarters'
'usa_cent_50','half'
'usa_cent_50','halves'
'usa_dollar_1','dollar'
'usa_dollar_1','dollars'
'ven_bolivar_fractional_1_2','1/2'
'ven_bolivar_fractional_1_4','1/4'
'ven_bolivar_fractional_1_5','1/5'
'ven_real_fractional_1_2','1/2'
'zaf_cent_fractional_2_1_2','2-1/2'
'zaf_cent_fractional_2_1_2','2 1/2'
'zaf_cent_fractional_2_1_2','5/2'
'zaf_penny_3','threepence'
'zaf_penny_6','sixpence'
'zaf_pond_fractional_1_2','1/2'
'zaf_pound_fractional_1_2','1/2'
'zaf_shilling_fractional_2_1_2','2-1/2'
'zaf_shilling_fractional_2_1_2','2 1/2'
'zaf_shilling_fractional_2_1_2','5/2'
'zaf_sovereign_fractional_1_2','1/2'
