coin_id,face_value_id,gross_weight,fineness,precious_metal_weight,tags,metal,name,series
'usa_bullion_fractional_1_10_oz_2','usa_bullion_fractional_1_10_oz',3.1100000000,0.9999000000,0.1000000000,'none','au','gold buffalo','bullion'
'usa_bullion_fractional_1_10_oz_3','usa_bullion_fractional_1_10_oz',3.1100000000,0.9995000000,0.1000000000,'none','pt','platinum eagle','bullion'
'usa_bullion_fractional_1_2_oz_1','usa_bullion_fractional_1_2_oz',16.9650000000,0.9167000000,0.5000000000,'none','au','gold eagle','bullion'
'usa_bullion_fractional_1_2_oz_2','usa_bullion_fractional_1_2_oz',15.5520000000,0.9999000000,0.5000000000,'none','au','gold buffalo','bullion'
'usa_bullion_fractional_1_2_oz_3','usa_bullion_fractional_1_2_oz',15.5600000000,0.9995000000,0.5000000000,'none','pt','platinum eagle','bullion'
'usa_bullion_fractional_1_4_oz_1','usa_bullion_fractional_1_4_oz',8.4830000000,0.9167000000,0.2500000000,'none','au','gold eagle','bullion'
'usa_bullion_fractional_1_4_oz_2','usa_bullion_fractional_1_4_oz',7.7760000000,0.9999000000,0.2500000000,'none','au','gold buffalo','bullion'
'usa_bullion_fractional_1_4_oz_3','usa_bullion_fractional_1_4_oz',7.7780000000,0.9995000000,0.2500000000,'none','pt','platinum eagle','bullion'
'zaf_krugerrand_1_oz_1','zaf_krugerrand_1_oz',31.1100000000,0.9999000000,1.0000000000,'none','ag','silver','bullion'
'zaf_krugerrand_1_oz_2','zaf_krugerrand_1_oz',33.9300000000,0.9167000000,1.0000000000,'none','au','gold','bullion'
'zaf_krugerrand_fractional_1_10_oz_1','zaf_krugerrand_fractional_1_10_oz',3.3930000000,0.9167000000,0.1000000000,'none','au','gold','bullion'
'zaf_krugerrand_fractional_1_2_oz_1','zaf_krugerrand_fractional_1_2_oz',16.9650000000,0.9167000000,0.5000000000,'none','au','gold','bullion'
'zaf_krugerrand_fractional_1_4_oz_1','zaf_krugerrand_fractional_1_4_oz',8.4825000000,0.9167000000,0.2500000000,'none','au','gold','bullion'
